id,x,y,z,date,temp_field,ec_lab,ec_field,tur,alkalinity,O2,CH4,ph_lab,ph_field,Na,K,Ca,Mg,TotH-m,Fe,Mn,NH4,SiO2,Cl,SO4,N03 ,PO4_total
-,m,m,m+ref,-,°C,µS/cm,µS/cm,FTU,mg/L,mg/L,mg/L,,,mg/L,mg/L,mg/L,mg/L,mmol/L,mg/L,mg/L,mg NH4/L,mg SiO2/L,mg/L,mg/L,mg NO3/L,mg PO4/L
Prec. 1987,105440,522880,8,31959,10,65,200,1,0,11,0,4.5,,9,0.4,1,1.1,,0.1,0.02,1.29,0.2,16,7,3.4,0.04
14C.041+6.5,105330,525660,6.5,33420,10,140,350,2,0,2,0,4.3,,15,1.1,2,1.6,,0.29,0.05,0.05,11.2,19,16,22.6,0.04
14C.041+5.5,105330,525660,5.5,33420,10,161,215,0.5,0,1,0,4.4,,19,1.8,2,3,,0.12,0.03,0.05,10.6,31,18,12,0.24
14C.041+4.5,105330,525660,4.5,33420,10,157,1,0.2,7,0,0,5.5,,20,2.1,3,3.9,,2.33,0.06,0.08,15.4,34,19,0.1,0.46
14C.041+3.5,105330,525660,3.5,33420,10,180,2,,13,0,0,5.7,,21,2.8,5,5.4,,3.43,0.13,0.19,18.6,41,20,0,0.43
19A.326-12.5,105440,522880,-12.5,33420,10,209,525,,23,0,,6.2,,24,1.8,13,2.7,,0.7,0.03,0.23,15.1,41,24,0,0.15
19A.326-17.5,105440,522880,-17.5,33420,10,332,222,1,92,0,0.14,7.4,,29,1.9,38,2.8,,0.3,0.09,0.24,15.6,44,36,0,0.34
19A.326-23.5,105440,522880,-23.5,33420,10,388,2,2,121,0,,7.6,,31,2,47,3.3,,0.4,0.13,0.34,13.3,50,35,0,0.36
19A.031-30,104920,521640,-30,33420,10.1,390,25,0.5,146,0,,7.7,,29,2,51,3.4,,0.51,0.13,0.44,20,45,22,0,0.43
19A.021-87,107030,522960,-87,33420,10.2,300,5,0.2,151,0,,7.7,,15,1.4,48,3.1,,3.4,0.18,0.68,16,33,0,0,0.43
19A.159-93,108050,521800,-93,33420,10.5,303,52,,156,0,5,7.6,,15,1.2,48,2.5,,1.22,0.13,0.45,17.6,29,0,0,0.43
19B.014-92,110170,522740,-92,33420,10.7,323,3,,169,0,9.1,8.1,,24,9.5,13,21,,0.69,0.04,0.83,22.9,33,0,0,0.83
19B.088-44,112420,522330,-44,33420,10.8,696,5,1,398,0,18.2,8.5,,155,11.5,3,3.1,,0.62,0.04,6.19,17.4,35,0,0,10.56
19B.054-25,111740,523349,-25,33420,10.7,879,1,2,525,0,,8.2,,190,16.8,9,9.5,,0.17,0.12,8.26,45,60,0,0,9.18
19B.088-20,112420,522330,-20,33420,10.8,2040,54,0.5,801,0,,7.7,,445,58,27,19.9,,1.6,0.12,20,83.2,390,9,0,20.9
19B.089-19,112530,522400,-19,33420,10.8,4730,2,0.2,903,0,,8.5,,910,134,66,71,,5.4,0.3,49,71.6,1320,15,0,21.2
19B.090-15,112570,522479,-15,33420,11,14950,5888,0,2635,0,,7.8,,3380,95,160,390,,2.3,0.03,49,71.6,5285,4,0,60
