feature,name,unit,molar_weight,predominant_oxidized_state,predominant_reduced_state,SMOW
H,Hydrogen,mg/L,1.00794,1,0,0
He,Helium,mg/L,4.002602,0,None,0
Li,Lithium,μg/L,6.941,1,None,170
Be,Beryllium,μg/L,9.012182,2,None,0.0006
B,Boron,μg/L,10.811,3,None,4600
C,Carbon,mg/L,12.0107,4,-4,27.53195674
N,Nitrogen,mg/L,14.0067,5,3,0.03
O,Oxygen,mg/L,15.9994,-2,None,890000
F,Fluorine,mg/L,18.9984032,-1,None,1300
Ne,Neon,mg/L,20.1797,0,None,0.164
Na,Sodium,mg/L,22.98976928,1,None,11020
Mg,Magnesium,mg/L,24.305,2,None,1322
Al,Aluminium,μg/L,26.9815386,3,None,5
Si,Silicon,mg/L,28.0855,4,None,2.056074766
P,Phosphorus,mg/L,30.973762,5,None,0.06
S,Sulfur,mg/L,32.065,6,-2,926.1555278
Cl,Chlorine,mg/L,35.453,-1,None,19805
Ar,Argon,mg/L,39.948,0,None,0
K,Potassium,mg/L,39.0983,1,None,408
Ca,Calcium,mg/L,40.078,2,None,422
Sc,Scandium,μg/L,44.955912,3,None,0.0007
Ti,Titanium,μg/L,47.867,4,None,1
V,Vanadium,μg/L,50.9415,5,3,1.9
Cr,Chromium,μg/L,51.9961,6,3,0.2
Mn,Manganese,mg/L,54.938045,4,2,0.0002
Fe,Iron,mg/L,55.845,3,2,0.002
Co,Cobalt,μg/L,58.933195,2,None,0.1
Ni,Nickel,μg/L,58.6934,2,None,0.7
Cu,Copper,μg/L,63.546,2,1,0.9
Zn,Zinc,μg/L,65.38,2,None,2
Ga,Gallium,μg/L,69.723,3,None,0.0012
Ge,Germanium,μg/L,72.64,4,None,0.05
As,Arsenic,μg/L,74.9216,5,3,2.5
Se,Selenium,μg/L,78.96,6,4,0.09
Br,Bromine,μg/L,79.904,-1,None,67300
Kr,Krypton,mg/L,83.798,0,None,0
Rb,Rubidium,μg/L,85.4678,1,None,120
Sr,Strontium,μg/L,87.62,2,None,8100
Y,Yttrium,μg/L,88.90585,3,None,0.015
Zr,Zirconium,μg/L,91.224,4,None,0.012
Nb,Niobium,μg/L,92.90638,5,3,0.0046
Mo,Molybdenum,μg/L,95.96,6,None,10
Tc,Technetium,mg/L,98.9063,,,0
Ru,Ruthenium,μg/L,101.07,4,3,0.0007
Rh,Rhodium,μg/L,102.9055,3,None,0.08
Pd,Palladium,mg/L,106.42,2,None,0.000043
Ag,Silver,μg/L,107.8682,1,None,0.04
Cd,Cadmium,μg/L,112.411,2,None,0.11
In,Indium,μg/L,114.818,3,None,0.00001
Sn,Tin,μg/L,118.71,4,2,0.8
Sb,Antimony,μg/L,121.76,5,3,0.3
Te,Tellurium,μg/L,127.6,6,4,0.03
I,Iodine,μg/L,126.90447,5,-1,60
Xe,Xenon,mg/L,131.293,0,None,0.065
Cs,Caesium,μg/L,132.9054519,1,None,0.3
Ba,Barium,μg/L,137.327,2,None,30
La,Lanthanum,μg/L,138.90547,3,None,0.012
Ce,Cerium,μg/L,140.116,4,3,0.0052
Pr,Praseodymium,μg/L,140.90765,3,None,0
Nd,Neodymium,μg/L,144.242,3,None,0.0092
Pm,Promethium,mg/L,146.9151,,None,0
Sm,Samarium,μg/L,150.36,3,None,0.00045
Eu,Europium,μg/L,151.964,3,2,0.00013
Gd,Gadolinium,μg/L,157.25,3,None,0.00092
Tb,Terbium,μg/L,158.92535,3,None,0.00014
Dy,Dysprosium,μg/L,162.5,3,None,0.00112
