Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
CH4,mg/L,ions,74-82-8,CH4,,Methane,,methaan,C1a,methaan
H2S,mg/L,ions,7783-06-4,H2S,,Hydrogen sulfide,,waterstofsulfide,H2S,waterstofsulfide
CO2,mg/L,ions,124-38-9,CO2,,,Carbon dioxide,kooldioxide | koolzuurgas,CO2,kooldioxide
CO3,mg/L,ions,3812-32-6,CO3,,,Carbon trioxide | Carbonate,carbonaat | koolstoftrioxide,CO3,carbonaat
HCO3,mg/L,ions,71-52-3,HCO3,,Bicarbonate,hydrogencarbonate,waterstofcarbonaat | bicarbonaat,HCO3,waterstofcarbonaat
Alkalinity,mg/L,ions,,Alkalinity,,,alkalinity,alkaliniteit,ALKLTT,Alkaliteit
O2_field,mg/L,ions,,O2_field,,,oxygen field | O2 field,zuurstof veld | O2 veld | zuurstof opgelost veld,,
O2_lab,mg/L,ions,,O2_lab,,,oxygen lab | O2 lab,zuurstof lab | O2 lab | zuurstof opgelost lab,,
O2,mg/L,ions,7782-44-7,O2,,,oxygen,zuurstof | zuurstof opgelost,O2,zuurstof
KMnO4,mg/L,ions,7722-64-7,KMnO4,,,Potassium permanganate,Kaliumpermanganaat,KMnO4,kaliumpermanganaat
NH4,mg/L,ions,14798-03-9,NH4,,,Ammonium,ammonium,NH4,ammonium
NO2,mg/L,ions,14797-65-0,NO2,,,Nitrite,nitriet,NO2,nitriet
NO3,mg/L,ions,14797-55-8,NO3,,,Nitrate,nitraat,NO3,nitraat
N_kj,mg/L,ions,,N_kj,,,TKN | Kjeldahl Nitrogen,Kjeldahl Stikstof,NKj,stikstof Kjeldahl
N,mg/L,ions,,N,,,Total N | Total Nitrogen,Totaal Stikstof | Total N,,
PO4,mg/L,ions,14265-44-2,PO4,,,Phosphate | total Phosphate,fosfaat | totaal fosfaat,PO4,fosfaat
PO4_ortho,mg/L,ions,,PO4_ortho,,,ortho phosphate,Ortho-fosfaat,,
P,mg/L,ions,,P,,,Total P | Phosphorus,totaal P | fosfor,,
SiO2,mg/L,ions,14808-60-7,SiO2,,Silicondioxide,,siliciumdioxide | kiezelzuur | silica,SiO2,siliciumdioxide
SO4,mg/L,ions,14808-79-8,SO4,,,Sulphate,sulfaat,SO4,sulfaat
SO4_ic,mg/L,ions,,SO4_ic,,,Sulphate Ion Chromatography,Sulfaat Ion Chromatograaf,,
SO4_icp,mg/L,ions,,SO4_icp,,,Sulphate ICP,Sulfaat ICP,,
doc,mg/L,ions,,doc,,,Dissolved Organic Carbon | Organic Carbon,koolstof organisch | Opgeloste Organische Stof | Organische stof | Corg,Corg,koolstof organisch
tic,mg/L,,,tic,,,TOC | total inorganic carbon | inorganic carbon,,Canorg,koolstof anorganisch
toc,mg/L,ions,,toc,,,Total Organic Carbon,Koolstof totaal | Totaal organische stof | Totaal organisch koolstof | Canorg,,
cod,mg/L,ions,,cod,,,Chemical Oxygen Demand,Chemisch Zuurstof Verbruik | CZV,CZV,Chemisch zuurstofverbruik
bod,mg/L,,,bod,,,Biological Oxygen Demand,Biologisch Zuurstof Verbruik | BZV,,
ec_field,μS/cm,other,,ec_field,,,EC field | Electric Conductivity field,EGV veld | Electrisch Geleidings Vermogen veld,,
ec_lab,μS/cm,other,,ec_lab,,,EC lab | Electric Conductivity lab,EGV lab | Electrisch Geleidings Vermogen lab,,
ec,μS/cm,other,,ec,,,EC | Electric Conductivity | EC 20C,EGV | Electrisch Geleidings Vermogen | EGV 20C,,
