NrOfRowsMerged,SIKB,OtherEnglishAlias,NVWA,ValidCas,REWAB,KIWAnumber,SIKBcode,BestCid,BestCas,ValidCid,MicrobialParameters,OtherDutchAlias,HGC,Warnings,REWAB_units,REWAB_CASnumber,Other_CASnumber,AllowMergeRows,FeatureDataBase,Category,SIKB_CASnumber,NVWA_CASnumber,SIKB_Group,DefaultUnits,Feature
1,"['3-chloor-1,1,1-trifluorpropaan']","['3-chloro-\xa01,1,\xa01-trifluoropropane']",[],['460-35-5'],[],[],['HCFK253fb'],[10000],['460-35-5'],[10000],[],[],[],[],,[],[],True,PubChemCompound,,['460-35-5'],[],ChemischeStof,μg/L,PubChemCid 10000
1,['fluorbenzeen'],['fluorobenzene'],[],['462-06-6'],[],[],['C6H5F'],[10008],['462-06-6'],[10008],[],[],[],[],,[],[],True,PubChemCompound,,['462-06-6'],[],ChemischeStof,μg/L,PubChemCid 10008
1,['b-fenylethylamine'],['b-phenylethylamine'],[],['64-04-0'],[],[],['2FyC2yAe'],[1001],['64-04-0'],[1001],[],[],[],[],,[],[],True,PubChemCompound,,['64-04-0'],[],ChemischeStof,μg/L,PubChemCid 1001
1,['carbonylsulfide'],['carbonyl sulfide'],[],['463-58-1'],[],[],['carbnS'],[10039],['463-58-1'],[10039],[],[],[],[],,[],[],True,PubChemCompound,,['463-58-1'],[],ChemischeStof,μg/L,PubChemCid 10039
1,['fosforzuur'],['phosphoric acid'],[],['7664-38-2'],[],[],['H3PO4'],[1004],['7664-38-2'],[1004],[],[],[],[],,[],[],True,PubChemCompound,,['7664-38-2'],[],ChemischeStof,μg/L,PubChemCid 1004
2,['borneol'],['borneol'],[],['507-70-0'],['borneol'],['1472'],['bornol'],[10049],['507-70-0'],"[10049, 64685, 657014, 1201518, 6321405, 6552009, 44630107]",[],[],[],[],,[],[],True,PubChemCompound,,['507-70-0'],[],ChemischeStof,μg/L,"PubChemCid 10049, PubChemCid 64685, PubChemCid 657014, PubChemCid 1201518, PubChemCid 6321405, PubChemCid 6552009, PubChemCid 44630107"
3,['flurenol'],['flurenol'],['FLURENOL'],"['188853-09-0', '467-69-6']",['flurenol'],['8329'],['flurnl'],[10087],"['188853-09-0', '467-69-6']",[10087],[],['flurenol'],[],[],,[],[],True,PubChemCompound,,['467-69-6'],[],ChemischeStof,μg/L,PubChemCid 10087
1,['(pentabroomfenyl)methylacrylaat'],['(pentabromophenyl) methyl acrylate'],[],['59447-55-1'],[],[],['PeBrFyC1yacl'],[101059],['59447-55-1'],[101059],[],[],[],[],,[],[],True,PubChemCompound,,['59447-55-1'],[],ChemischeStof,μg/L,PubChemCid 101059
1,['3-chloor-2-nitroaniline'],['3-chloro-2-nitroaniline'],[],['59483-54-4'],[],[],['3Cl2NO2An'],[101068],['59483-54-4'],[101068],[],[],[],[],,[],[],True,PubChemCompound,,['59483-54-4'],[],ChemischeStof,μg/L,PubChemCid 101068
6,['chloorfenvinfos'],"['chlorfenvinfos', 'chlorfenvinphos (alpha)', 'chlorfenvinphos (beta)', 'cis-chlorphenvinphos', 'trans-chlorphenvinphos']",['CHLOORFENVINFOS'],['470-90-6'],"['chloorfenvinfos (alfa-)', 'chloorfenvinfos (beta-)', 'cis-chloorfenvinfos', 'trans-chloorfenvinfos']","['8642', '8643', '8828', '8829']",['Clfvfs'],[10107],['470-90-6'],"[10107, 5377784, 5377791]",[],['chloorfenvinfos'],[],[],,[],[],True,PubChemCompound,,['470-90-6'],[],ChemischeStof,μg/L,"PubChemCid 10107, PubChemCid 5377784, PubChemCid 5377791"
